idx,region,scene_id,severity_bin,q1_raw,q1_pred,q2_raw,q2_pred,q3_raw,q3_pred
0,327,S2_2019-01-09,0,No,0,Mild,1,None,0
1,320,S2_2019-02-13,0,Yes,1,Mild,1,Low,1
2,310,S2_2019-03-15,0,Yes,1,Mild,1,Low,1
3,336,S2_2019-03-15,0,No,0,Mild,1,Low,1
4,311,S2_2019-01-09,0,No,0,Mild,1,Low,1
5,330,S2_2019-02-13,0,No,0,Mild,1,Low,1
6,325,S2_2019-02-13,0,No,0,Mild,1,Low,1
7,329,S2_2019-02-28,0,No,0,Mild,1,Low,1
8,329,S2_2019-02-13,0,No,0,Mild,1,Low,1
9,309,S2_2019-02-28,0,Yes,1,Mild,1,Low,1
10,332,S2_2019-02-13,0,Yes,1,Mild,1,Low,1
11,319,S2_2019-03-15,0,No,0,Mild,1,Low,1
12,324,S2_2019-02-13,0,No,0,Mild,1,Low,1
13,328,S2_2019-02-28,0,Yes,1,Mild,1,Low,1
14,304,S2_2019-02-28,0,Yes,1,Mild,1,Low,1
15,334,S2_2019-02-13,0,Yes,1,Mild,1,Low,1
16,323,S2_2019-03-15,0,No,0,Mild,1,Low,1
17,327,S2_2019-02-13,0,No,0,Mild,1,None,0
18,331,S2_2019-03-15,0,No,0,Mild,1,Low,1
19,325,S2_2019-01-09,0,No,0,Mild,1,Low,1
20,335,S2_2019-01-09,0,No,0,Mild,1,Low,1
21,333,S2_2019-02-13,0,Yes,1,Mild,1,Low,1
22,332,S2_2019-01-09,0,No,0,Mild,1,Low,1
23,304,S2_2019-03-15,0,Yes,1,Mild,1,Low,1
24,324,S2_2019-03-15,0,No,0,Mild,1,Low,1
25,321,S2_2019-03-15,1,No,0,Mild,1,Low,1
26,229,S2_2019-04-08,1,Yes,1,Mild,1,Low,1
27,236,S2_2019-03-19,1,Yes,1,Mild,1,Low,1
28,22,S2_2019-04-18,1,No,0,Mild,1,Low,1
29,174,S2_2019-04-13,1,No,0,Mild,1,Low,1
30,225,S2_2019-04-21,1,Yes,1,Mild,1,Low,1
31,5,S2_2018-12-20,1,No,0,None,0,None,0
32,248,S2_2019-03-12,1,Yes,1,Mild,1,Low,1
33,171,S2_2019-02-27,1,No,0,Mild,1,Low,1
34,170,S2_2019-03-29,1,No,0,Mild,1,Low,1
35,230,S2_2019-04-08,1,No,0,Mild,1,Low,1
36,299,S2_2019-02-13,1,No,0,Mild,1,Low,1
37,22,S2_2019-04-13,1,No,0,Mild,1,Low,1
38,6,S2_2019-01-14,1,No,0,None,0,None,0
39,13,S2_2019-01-14,1,No,0,None,0,None,0
40,6,S2_2019-01-16,1,No,0,Mild,1,None,0
41,229,S2_2019-04-23,1,Yes,1,Mild,1,Low,1
42,89,S2_2019-01-05,1,No,0,Mild,1,Low,1
43,248,S2_2019-03-19,1,Yes,1,Mild,1,Low,1
44,65,S2_2019-04-08,1,Yes,1,Mild,1,Low,1
45,176,S2_2019-04-18,1,No,0,Mild,1,Low,1
46,4,S2_2019-01-14,1,No,0,None,0,None,0
