region,scene_id,date,method,quality_score,water_fraction_raw,water_fraction_temporal,raw_mask_path,temporal_mask_path,temporal_mask_shape,persistence_score,delta_score,severity_score,severity_bin
0,S2_2019-01-26,2019-01-26,S1_ADAPTIVE,,0.7088296760710554,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-01-26.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-01-26.npy,"(512, 512)",0.23614883422851562,0.0,0.059037208557128906,0
0,S2_2019-01-31,2019-01-31,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-01-31.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-01-31.npy,"(512, 512)",0.23614883422851562,0.0,0.059037208557128906,0
0,S2_2019-02-10,2019-02-10,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-02-10.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-02-10.npy,"(512, 512)",0.23614883422851562,0.0,0.059037208557128906,0
0,S2_2019-02-25,2019-02-25,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-02-25.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-02-25.npy,"(512, 512)",0.23614883422851562,0.0,0.059037208557128906,0
0,S2_2019-03-12,2019-03-12,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-03-12.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-03-12.npy,"(512, 512)",0.23614883422851562,0.0,0.059037208557128906,0
0,S2_2019-04-01,2019-04-01,S1_ADAPTIVE,,0.7088296760710554,0.7084465026855469,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-01.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-01.npy,"(512, 512)",0.23614883422851562,0.47229766845703125,0.5549497604370117,3
0,S2_2019-04-06,2019-04-06,S1_ADAPTIVE,,0.7088296760710554,0.7084465026855469,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-06.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-06.npy,"(512, 512)",0.23614883422851562,0.47229766845703125,0.5549497604370117,3
0,S2_2019-04-16,2019-04-16,S2_NDWI_mNDWI,1.0,0.0,0.7084465026855469,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-16.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-16.npy,"(512, 512)",0.23614883422851562,0.47229766845703125,0.5549497604370117,3
0,S2_2019-04-21,2019-04-21,S1_ADAPTIVE,,0.7088296760710554,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-21.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-21.npy,"(512, 512)",0.23614883422851562,0.0,0.059037208557128906,0
0001,S2_2018-12-18,2018-12-18,S2_NDWI_mNDWI,1.0,0.03925323486328125,0.037631988525390625,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2018-12-18.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2018-12-18.npy,"(512, 512)",0.04655287000868055,0.0,0.03421741061740451,0
