region,scene_id,date,method,quality_score,water_fraction_raw,water_fraction_temporal,raw_mask_path,temporal_mask_path,temporal_mask_shape
0,S2_2019-01-26,2019-01-26,S1_ADAPTIVE,,0.7088296760710554,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-01-26.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-01-26.npy,"(512, 512)"
0,S2_2019-01-31,2019-01-31,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-01-31.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-01-31.npy,"(512, 512)"
0,S2_2019-02-10,2019-02-10,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-02-10.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-02-10.npy,"(512, 512)"
0,S2_2019-02-25,2019-02-25,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-02-25.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-02-25.npy,"(512, 512)"
0,S2_2019-03-12,2019-03-12,S2_NDWI_mNDWI,1.0,0.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-03-12.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-03-12.npy,"(512, 512)"
0,S2_2019-04-01,2019-04-01,S1_ADAPTIVE,,0.7088296760710554,0.7084465026855469,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-01.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-01.npy,"(512, 512)"
0,S2_2019-04-06,2019-04-06,S1_ADAPTIVE,,0.7088296760710554,0.7084465026855469,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-06.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-06.npy,"(512, 512)"
0,S2_2019-04-16,2019-04-16,S2_NDWI_mNDWI,1.0,0.0,0.7084465026855469,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-16.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-16.npy,"(512, 512)"
0,S2_2019-04-21,2019-04-21,S1_ADAPTIVE,,0.7088296760710554,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0__S2_2019-04-21.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0__S2_2019-04-21.npy,"(512, 512)"
0001,S2_2018-12-18,2018-12-18,S2_NDWI_mNDWI,1.0,0.03925323486328125,0.037631988525390625,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2018-12-18.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2018-12-18.npy,"(512, 512)"
0001,S2_2018-12-23,2018-12-23,S2_NDWI_mNDWI,0.650421142578125,0.051357269287109375,0.037689208984375,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2018-12-23.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2018-12-23.npy,"(512, 512)"
0001,S2_2019-01-02,2019-01-02,S2_NDWI_mNDWI,1.0,0.030651092529296875,0.050418853759765625,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2019-01-02.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2019-01-02.npy,"(512, 512)"
0001,S2_2019-01-12,2019-01-12,S2_NDWI_mNDWI,1.0,0.057437896728515625,0.03481292724609375,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2019-01-12.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2019-01-12.npy,"(512, 512)"
0001,S2_2019-01-17,2019-01-17,S2_NDWI_mNDWI,1.0,0.03285980224609375,0.05503082275390625,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2019-01-17.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2019-01-17.npy,"(512, 512)"
0001,S2_2019-01-22,2019-01-22,S2_NDWI_mNDWI,1.0,0.056476593017578125,0.056232452392578125,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0001__S2_2019-01-22.npy,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_temporal/0001__S2_2019-01-22.npy,"(512, 512)"
