region,scene_id,date,method,quality_score,water_fraction,raw_mask_path
61,S2_2019-04-04,2019-04-04,S2_NDWI_mNDWI,1.0,0.000850677490234375,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-04-04.npy
61,S2_2019-04-14,2019-04-14,S2_NDWI_mNDWI,1.0,0.000850677490234375,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-04-14.npy
61,S2_2019-03-25,2019-03-25,S2_NDWI_mNDWI,1.0,0.000972747802734375,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-03-25.npy
61,S2_2019-02-23,2019-02-23,S2_NDWI_mNDWI,1.0,0.00034332275390625,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-02-23.npy
61,S2_2019-04-19,2019-04-19,S2_NDWI_mNDWI,1.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-04-19.npy
61,S2_2019-02-13,2019-02-13,S2_NDWI_mNDWI,1.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-02-13.npy
61,S2_2019-04-24,2019-04-24,S2_NDWI_mNDWI,1.0,0.0,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-04-24.npy
61,S2_2019-03-10,2019-03-10,S2_NDWI_mNDWI,1.0,0.000324249267578125,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-03-10.npy
61,S2_2019-02-28,2019-02-28,S2_NDWI_mNDWI,1.0,7.2479248046875e-05,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/61__S2_2019-02-28.npy
0184,S2_2019-03-03,2019-03-03,S2_NDWI_mNDWI,1.0,0.000217437744140625,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0184__S2_2019-03-03.npy
0184,S2_2019-04-27,2019-04-27,S2_NDWI_mNDWI,1.0,0.000324249267578125,/Users/kanishkchhabra/Desktop/TAMU/Sem-4/CSCE753-CVRP/Project/code/proxy_outputs/masks_raw/0184__S2_2019-04-27.npy
