region,scene_id,date,severity_bin,severity_score,water_fraction_temporal,temporal_mask_path,s2_b02,s2_b03,s2_b04,s2_b08,s2_b11,s1_vv,s1_vh,s1_vv_gap_days,s1_vh_gap_days
0,S2_2019-01-26,2019-01-26,0,0.059037208557128906,0.0,proxy_outputs/masks_temporal/0__S2_2019-01-26.npy,SEN12FLOOD/0/S2_2019-01-26_B02.tif,SEN12FLOOD/0/S2_2019-01-26_B03.tif,SEN12FLOOD/0/S2_2019-01-26_B04.tif,SEN12FLOOD/0/S2_2019-01-26_B08.tif,SEN12FLOOD/0/S2_2019-01-26_B11.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190206T030905_20190206T030930_025803_02DEB0_2CC8_corrected_VV.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190206T160653_20190206T160722_014827_01BABE_8777_corrected_VH.tif,11,11
0,S2_2019-01-31,2019-01-31,0,0.059037208557128906,0.0,proxy_outputs/masks_temporal/0__S2_2019-01-31.npy,SEN12FLOOD/0/S2_2019-01-31_B02.tif,SEN12FLOOD/0/S2_2019-01-31_B03.tif,SEN12FLOOD/0/S2_2019-01-31_B04.tif,SEN12FLOOD/0/S2_2019-01-31_B08.tif,SEN12FLOOD/0/S2_2019-01-31_B11.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190206T030905_20190206T030930_025803_02DEB0_2CC8_corrected_VV.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190206T160653_20190206T160722_014827_01BABE_8777_corrected_VH.tif,6,6
0,S2_2019-02-10,2019-02-10,0,0.059037208557128906,0.0,proxy_outputs/masks_temporal/0__S2_2019-02-10.npy,SEN12FLOOD/0/S2_2019-02-10_B02.tif,SEN12FLOOD/0/S2_2019-02-10_B03.tif,SEN12FLOOD/0/S2_2019-02-10_B04.tif,SEN12FLOOD/0/S2_2019-02-10_B08.tif,SEN12FLOOD/0/S2_2019-02-10_B11.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190206T030905_20190206T030930_025803_02DEB0_2CC8_corrected_VV.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190206T160653_20190206T160722_014827_01BABE_8777_corrected_VH.tif,4,4
0,S2_2019-02-25,2019-02-25,0,0.059037208557128906,0.0,proxy_outputs/masks_temporal/0__S2_2019-02-25.npy,SEN12FLOOD/0/S2_2019-02-25_B02.tif,SEN12FLOOD/0/S2_2019-02-25_B03.tif,SEN12FLOOD/0/S2_2019-02-25_B04.tif,SEN12FLOOD/0/S2_2019-02-25_B08.tif,SEN12FLOOD/0/S2_2019-02-25_B11.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190302T030905_20190302T030930_026153_02EB31_1973_corrected_VV.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190302T030905_20190302T030930_026153_02EB31_1973_corrected_VH.tif,5,5
0,S2_2019-03-12,2019-03-12,0,0.059037208557128906,0.0,proxy_outputs/masks_temporal/0__S2_2019-03-12.npy,SEN12FLOOD/0/S2_2019-03-12_B02.tif,SEN12FLOOD/0/S2_2019-03-12_B03.tif,SEN12FLOOD/0/S2_2019-03-12_B04.tif,SEN12FLOOD/0/S2_2019-03-12_B08.tif,SEN12FLOOD/0/S2_2019-03-12_B11.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190313T161522_20190313T161557_026321_02F156_A8A9_corrected_VV.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190313T161522_20190313T161557_026321_02F156_A8A9_corrected_VH.tif,1,1
0,S2_2019-04-01,2019-04-01,3,0.5549497604370117,0.7084465026855469,proxy_outputs/masks_temporal/0__S2_2019-04-01.npy,SEN12FLOOD/0/S2_2019-04-01_B02.tif,SEN12FLOOD/0/S2_2019-04-01_B03.tif,SEN12FLOOD/0/S2_2019-04-01_B04.tif,SEN12FLOOD/0/S2_2019-04-01_B08.tif,SEN12FLOOD/0/S2_2019-04-01_B11.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190401T030823_20190401T030856_015607_01D42A_6D09_corrected_VV.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190401T030823_20190401T030856_015607_01D42A_6D09_corrected_VH.tif,0,0
0,S2_2019-04-06,2019-04-06,3,0.5549497604370117,0.7084465026855469,proxy_outputs/masks_temporal/0__S2_2019-04-06.npy,SEN12FLOOD/0/S2_2019-04-06_B02.tif,SEN12FLOOD/0/S2_2019-04-06_B03.tif,SEN12FLOOD/0/S2_2019-04-06_B04.tif,SEN12FLOOD/0/S2_2019-04-06_B08.tif,SEN12FLOOD/0/S2_2019-04-06_B11.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190407T160654_20190407T160723_015702_01D76E_92F9_corrected_VV.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190407T030905_20190407T030930_026678_02FE78_A21F_corrected_VH.tif,1,1
0,S2_2019-04-16,2019-04-16,3,0.5549497604370117,0.7084465026855469,proxy_outputs/masks_temporal/0__S2_2019-04-16.npy,SEN12FLOOD/0/S2_2019-04-16_B02.tif,SEN12FLOOD/0/S2_2019-04-16_B03.tif,SEN12FLOOD/0/S2_2019-04-16_B04.tif,SEN12FLOOD/0/S2_2019-04-16_B08.tif,SEN12FLOOD/0/S2_2019-04-16_B11.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190419T160654_20190419T160723_015877_01DD38_00F9_corrected_VV.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190419T030906_20190419T030931_026853_0304D2_B920_corrected_VH.tif,3,3
0,S2_2019-04-21,2019-04-21,0,0.059037208557128906,0.0,proxy_outputs/masks_temporal/0__S2_2019-04-21.npy,SEN12FLOOD/0/S2_2019-04-21_B02.tif,SEN12FLOOD/0/S2_2019-04-21_B03.tif,SEN12FLOOD/0/S2_2019-04-21_B04.tif,SEN12FLOOD/0/S2_2019-04-21_B08.tif,SEN12FLOOD/0/S2_2019-04-21_B11.tif,SEN12FLOOD/0/S1B_IW_GRDH_1SDV_20190419T160654_20190419T160723_015877_01DD38_00F9_corrected_VV.tif,SEN12FLOOD/0/S1A_IW_GRDH_1SDV_20190419T030906_20190419T030931_026853_0304D2_B920_corrected_VH.tif,2,2
0001,S2_2018-12-18,2018-12-18,0,0.03421741061740451,0.037631988525390625,proxy_outputs/masks_temporal/0001__S2_2018-12-18.npy,SEN12FLOOD/0001/S2_2018-12-18_B02.tif,SEN12FLOOD/0001/S2_2018-12-18_B03.tif,SEN12FLOOD/0001/S2_2018-12-18_B04.tif,SEN12FLOOD/0001/S2_2018-12-18_B08.tif,SEN12FLOOD/0001/S2_2018-12-18_B11.tif,SEN12FLOOD/0001/S1A_IW_GRDH_1SDV_20181223T190812_20181223T190837_025157_02C760_4C51_corrected_VV.tif,SEN12FLOOD/0001/S1A_IW_GRDH_1SDV_20181223T190812_20181223T190837_025157_02C760_4C51_corrected_VH.tif,5,5
